ID1,EstimationDate,id,EstimationRunStepId,NetworkNodeId,name
371,2021-02-27 14:00:00.000,6920355,8930,7058,106710546/2
372,2021-02-27 14:00:00.000,6920085,8930,6383,106710547/1
373,2021-02-27 14:00:00.000,6919983,8930,7062,106710547/2
374,2021-02-27 14:00:00.000,6920081,8930,8266,106710548/1
375,2021-02-27 14:00:00.000,6920041,8930,7849,106710548/2
376,2021-02-27 14:00:00.000,6920175,8930,6550,106710549/1
377,2021-02-27 14:00:00.000,6920197,8930,7971,106710550/1
378,2021-02-27 14:00:00.000,6920326,8930,8746,106710550/2
379,2021-02-27 14:00:00.000,6920182,8930,8918,106812201/1
380,2021-02-27 14:00:00.000,6920204,8930,8669,106812201/2
381,2021-02-27 14:00:00.000,6920329,8930,8055,106812202/1
382,2021-02-27 14:00:00.000,6920029,8930,8617,106812202/2
383,2021-02-27 14:00:00.000,6920061,8930,8273,107092717/1
384,2021-02-27 14:00:00.000,6920340,8930,8113,107092717/2
385,2021-02-27 14:00:00.000,6920230,8930,9022,107120477/1
386,2021-02-27 14:00:00.000,6919982,8930,7202,107159877/1
387,2021-02-27 14:00:00.000,6920236,8930,8813,107159877/2
388,2021-02-27 14:00:00.000,6920381,8930,7983,107159878/1
389,2021-02-27 14:00:00.000,6920298,8930,6325,107159878/2
390,2021-02-27 14:00:00.000,6920356,8930,7626,107159879/1
391,2021-02-27 14:00:00.000,6920238,8930,6533,107159879/2
392,2021-02-27 14:00:00.000,6920233,8930,7437,107159881/1
393,2021-02-27 14:00:00.000,6920186,8930,8834,107159881/2
394,2021-02-27 14:00:00.000,6920243,8930,7592,107159883/1
395,2021-02-27 14:00:00.000,6920388,8930,6948,107159892/1
396,2021-02-27 14:00:00.000,6919980,8930,6700,107159892/2
397,2021-02-27 14:00:00.000,6920187,8930,7481,107214658/1
398,2021-02-27 14:00:00.000,6920045,8930,8537,107214658/2
399,2021-02-27 14:00:00.000,6920019,8930,6780,107256101/1
400,2021-02-27 14:00:00.000,6920123,8930,8240,107256101/2
401,2021-02-27 14:00:00.000,6920323,8930,8163,107296832/1
402,2021-02-27 14:00:00.000,6919997,8930,9038,107296832/2
403,2021-02-27 14:00:00.000,6920134,8930,6445,107296833/1
404,2021-02-27 14:00:00.000,6920214,8930,8051,107296833/2
405,2021-02-27 14:00:00.000,6920058,8930,6642,107296834/1
406,2021-02-27 14:00:00.000,6920070,8930,8853,107296834/2
407,2021-02-27 14:00:00.000,6920398,8930,6672,107296836/1
408,2021-02-27 14:00:00.000,6920308,8930,8551,107296836/2
409,2021-02-27 14:00:00.000,6920055,8930,7223,107296838/1
410,2021-02-27 14:00:00.000,6920180,8930,8126,107296838/2
411,2021-02-27 14:00:00.000,6920222,8930,7520,107296840/1
412,2021-02-27 14:00:00.000,6920063,8930,6985,107296846/1
413,2021-02-27 14:00:00.000,6920051,8930,7218,107296846/2
414,2021-02-27 14:00:00.000,6920363,8930,8445,107296848/1
415,2021-02-27 14:00:00.000,6920394,8930,7883,107296848/2
416,2021-02-27 14:00:00.000,6920283,8930,6451,5578126/1
417,2021-02-27 14:00:00.000,6920262,8930,7373,5578126/2
